tax_year,jurisdiction_type,jurisdiction,jurisdiction_code,tax_type,filing_status,bracket_order,bracket_lower,bracket_upper,rate,bracket_label,standard_deduction_raw,standard_deduction_amount,personal_exemption_raw,personal_exemption_amount,dependent_exemption_raw,dependent_exemption_amount,source,source_url,notes
2026,federal,United States,US,federal_long_term_capital_gains,head_of_household,1,0.0,66200.0,0.0,,"$24,150",24150.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,head_of_household,2,66200.0,579600.0,0.15,,"$24,150",24150.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,head_of_household,3,579600.0,,0.2,,"$24,150",24150.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,married_filing_jointly,1,0.0,98900.0,0.0,,"$32,200",32200.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,married_filing_jointly,2,98900.0,613700.0,0.15,,"$32,200",32200.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,married_filing_jointly,3,613700.0,,0.2,,"$32,200",32200.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,married_filing_separately,1,0.0,49450.0,0.0,,"$16,100",16100.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,married_filing_separately,2,49450.0,306850.0,0.15,,"$16,100",16100.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,married_filing_separately,3,306850.0,,0.2,,"$16,100",16100.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,single,1,0.0,49450.0,0.0,,"$16,100",16100.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,single,2,49450.0,545500.0,0.15,,"$16,100",16100.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_long_term_capital_gains,single,3,545500.0,,0.2,,"$16,100",16100.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_ordinary_income,head_of_household,1,0.0,17700.0,0.1,,"$24,150",24150.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_ordinary_income,head_of_household,2,17700.0,67450.0,0.12,,"$24,150",24150.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
2026,federal,United States,US,federal_ordinary_income,head_of_household,3,67450.0,105700.0,0.22,,"$24,150",24150.0,,,,,"IRS Revenue Procedure 2025-32; Tax Foundation, 2026 Tax Brackets",https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,
